Nigeria,NGA,CO2 emissions (metric tons per capita),672,655,709,647,616,609,481,572,627,602,645,659,597,583,592,667,647,609
North Macedonia,MKD,CO2 emissions (metric tons per capita),4485,4336,4543,4542,4750,4634,4331,4216,4651,4402,3969,3744,3597,3552,3775,3538,3828,3430
Norway,NOR,CO2 emissions (metric tons per capita),8132,8158,7867,8016,8069,7774,7756,8562,8108,7793,7522,7451,7447,7250,6993,7031,7969,7615
Oman,OMN,CO2 emissions (metric tons per capita),11596,11253,11098,14538,15441,14569,14856,15279,16111,16767,16200,16008,16005,15525,14981,15192,12212,12173
Pakistan,PAK,CO2 emissions (metric tons per capita),690,757,759,808,872,828,827,784,773,768,759,787,820,887,951,982,1082,1063
Palau,PLW,CO2 emissions (metric tons per capita),11104,11580,13142,12791,12527,11225,10935,11697,12396,11908,12498,12482,12454,14674,15161,16191,12169,12125
Panama,PAN,CO2 emissions (metric tons per capita),1723,1716,2138,2208,2166,2076,2431,2523,2695,2774,2766,2891,2696,2668,2496,2428,2895,2498
Papua New Guinea,PNG,CO2 emissions (metric tons per capita),654,773,751,713,740,679,701,687,689,642,672,739,793,922,913,867,754,744
Paraguay,PRY,CO2 emissions (metric tons per capita),699,693,635,648,659,687,709,807,824,807,814,853,952,1055,1165,1210,1210,1061
Peru,PER,CO2 emissions (metric tons per capita),984,1133,1125,1106,1204,1350,1448,1570,1660,1639,1663,1755,1766,1828,1717,1697,1691,1356
Philippines,PHL,CO2 emissions (metric tons per capita),900,901,905,806,834,844,839,889,884,906,989,1039,1113,1205,1299,1334,1356,1241
Poland,POL,CO2 emissions (metric tons per capita),7792,7905,7896,8235,8220,8087,7792,8247,8160,7970,7842,7517,7609,7894,8238,8235,8433,7916
Portugal,PRT,CO2 emissions (metric tons per capita),5787,5926,6233,5745,5577,5384,5327,4818,4724,4586,4452,4416,4813,4722,5178,4841,4658,3961
Qatar,QAT,CO2 emissions (metric tons per capita),42403,42358,47700,43981,41898,38443,34545,33545,32306,33373,31927,32694,32471,32128,32179,32416,40619,37019
Romania,ROU,CO2 emissions (metric tons per capita),4618,4509,4494,4668,4618,4636,3953,3828,4167,4075,3603,3587,3679,3611,3783,3845,3865,3715
Russian Federation,RUS,CO2 emissions (metric tons per capita),10523,10649,10667,11116,11145,11301,10471,11083,11624,11640,11317,11173,10809,10606,10777,11127,11513,10807
Rwanda,RWA,CO2 emissions (metric tons per capita),60,60,58,56,58,56,57,57,63,68,72,73,82,90,88,88,94,80
Samoa,WSM,CO2 emissions (metric tons per capita),902,952,1057,1050,1044,1037,1030,1022,1067,1058,1049,1092,1240,1542,1536,1632,1246,1239
Sao Tome and Principe,STP,CO2 emissions (metric tons per capita),465,455,508,495,481,526,512,554,542,637,625,613,602,590,628,663,587,514
Saudi Arabia,SAU,CO2 emissions (metric tons per capita),12384,12718,12973,13403,13799,14765,15007,16018,16155,16764,16617,17363,17692,17160,16335,15269,18163,17967
Senegal,SEN,CO2 emissions (metric tons per capita),426,499,511,489,531,533,539,554,581,557,581,605,637,662,621,622,691,624
Serbia,SRB,CO2 emissions (metric tons per capita),7098,7711,6923,7254,7123,6986,6430,6399,7024,6313,6442,5430,6365,6551,6680,6522,5624,4937
Seychelles,SYC,CO2 emissions (metric tons per capita),6644,9094,8448,8747,7644,8050,5842,4901,4575,5096,4558,5035,5352,5704,6156,6407,5945,4994
Sierra Leone,SLE,CO2 emissions (metric tons per capita),112,105,85,108,90,90,88,92,117,133,156,168,131,131,130,133,123,110
Singapore,SGP,CO2 emissions (metric tons per capita),9288,9509,8650,8445,8345,7939,7785,8354,8637,8224,8135,8128,8220,8232,8451,8399,7874,7778
Slovak Republic,SVK,CO2 emissions (metric tons per capita),7135,6969,7169,7050,6925,6888,6282,6575,6322,5986,6085,5619,5669,5800,6174,6059,6189,5629
Slovenia,SVN,CO2 emissions (metric tons per capita),7726,7867,7963,8127,8077,8603,7614,7718,7663,7374,7088,6387,6382,6746,6843,6775,6738,6043
Solomon Islands,SLB,CO2 emissions (metric tons per capita),604,676,724,686,691,636,641,644,646,647,683,579,514,581,550,567,445,435
Somalia,SOM,CO2 emissions (metric tons per capita),59,57,56,54,56,54,52,52,51,50,50,48,47,47,45,46,43,35
South Africa,ZAF,CO2 emissions (metric tons per capita),7558,8035,7887,7828,8080,8569,8004,8300,7867,8077,8137,8213,7671,7564,7633,7497,8127,7620
South Sudan,SSD,CO2 emissions (metric tons per capita),0,0,0,0,0,0,0,0,0,140,140,145,184,160,139,126,126,105
Spain,ESP,CO2 emissions (metric tons per capita),7553,7818,8029,7698,7842,7054,6201,5867,5870,5757,5208,5184,5518,5314,5654,5520,5381,4468
Sri Lanka,LKA,CO2 emissions (metric tons per capita),646,664,715,630,685,641,611,645,756,824,703,847,971,1034,1087,998,1070,986
St. Kitts and Nevis,KNA,CO2 emissions (metric tons per capita),5027,5181,4696,4859,5234,5189,14404,4897,5259,7017,4570,4530,4687,4842,4612,4958,4535,3986
St. Lucia,LCA,CO2 emissions (metric tons per capita),2679,2595,2325,2479,1909,1882,6097,2298,2165,2944,1803,2019,2121,1944,2045,2144,2720,2396
Sudan,SDN,CO2 emissions (metric tons per capita),263,282,325,393,415,439,443,459,434,420,391,404,458,514,498,483,515,430
Suriname,SUR,CO2 emissions (metric tons per capita),2521,2816,3384,3028,2758,2823,2772,3288,3644,4508,4184,4772,4918,4089,3734,3611,4335,3791
Sweden,SWE,CO2 emissions (metric tons per capita),6162,5959,5561,5385,5153,5006,4611,5132,4719,4428,4224,4033,4000,3909,3811,3538,4079,3826
Switzerland,CHE,CO2 emissions (metric tons per capita),6110,6128,6165,6077,5766,5879,5639,5778,5206,5311,5375,4852,4712,4730,4569,4402,4277,3732
Syrian Arab Republic,SYR,CO2 emissions (metric tons per capita),2428,2506,3028,3087,3125,3100,2790,2795,2653,2250,1559,1447,1447,1515,1702,1647,1817,1745
Tajikistan,TJK,CO2 emissions (metric tons per capita),332,387,361,386,460,420,325,321,330,380,392,542,563,688,717,805,926,991
Tanzania,TZA,CO2 emissions (metric tons per capita),103,136,148,153,145,146,138,156,179,210,223,215,227,206,208,206,208,183
Thailand,THA,CO2 emissions (metric tons per capita),2957,3213,3304,3314,3387,3432,3310,3505,3475,3716,3852,3779,3829,3780,3766,3714,3901,3693
Timor-Leste,TLS,CO2 emissions (metric tons per capita),179,206,211,197,193,199,214,219,225,265,399,451,510,566,483,505,406,399
Togo,TGO,CO2 emissions (metric tons per capita),343,326,312,272,253,258,451,410,381,329,252,223,249,306,269,286,285,265
Tonga,TON,CO2 emissions (metric tons per capita),1205,1297,1288,1475,1267,1257,1347,1154,1062,1071,1179,1089,1091,1483,1765,1841,1373,1360
Trinidad and Tobago,TTO,CO2 emissions (metric tons per capita),11936,12379,15172,17059,16867,16083,15285,17031,17355,16448,16791,16090,15514,13234,13142,12778,28946,25373
Tunisia,TUN,CO2 emissions (metric tons per capita),2199,2278,2290,2360,2379,2380,2384,2580,2394,2460,2444,2606,2654,2565,2614,2592,2566,2380
Turkey,TUR,CO2 emissions (metric tons per capita),3316,3352,3461,3797,4153,4078,4036,4108,4326,4406,4191,4411,4477,4692,5127,5015,4787,4657
Turkmenistan,TKM,CO2 emissions (metric tons per capita),9539,9955,10171,10339,11540,11518,10060,11275,12255,12586,12630,12712,12952,12719,12498,12260,12844,12491
Tuvalu,TUV,CO2 emissions (metric tons per capita),1028,1013,1000,988,979,969,960,950,941,931,922,911,901,890,880,869,648,642
Uganda,UGA,CO2 emissions (metric tons per capita),62,66,81,91,100,104,109,119,124,113,120,128,127,143,142,143,129,107
Ukraine,UKR,CO2 emissions (metric tons per capita),6907,6473,6271,6497,6711,6514,5478,5874,6203,6082,5905,5248,4227,4472,3900,4154,5059,4891
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),27891,27032,25343,22916,21348,22033,19853,19043,18590,19223,20015,19952,20948,21308,21951,20797,15781,15193
United Kingdom,GBR,CO2 emissions (metric tons per capita),9088,9040,8950,8902,8629,8323,7469,7676,7025,7332,7065,6422,6149,5775,5546,5399,5464,4855
United States,USA,CO2 emissions (metric tons per capita),19509,19604,19478,18958,19056,18295,16819,17434,16599,15771,16103,16026,15535,15132,14806,15241,15972,14238
Uruguay,URY,CO2 emissions (metric tons per capita),1351,1644,1629,1904,1756,2320,2290,1869,2259,2521,2171,1912,1931,1907,1769,1890,1902,1681
Uzbekistan,UZB,CO2 emissions (metric tons per capita),4627,4695,4388,4603,4405,4549,4118,4291,4262,3738,3741,3427,3244,3371,3439,3401,3463,3370
Vanuatu,VUT,CO2 emissions (metric tons per capita),452,343,334,327,501,445,565,550,536,481,429,606,516,647,595,615,605,591
"Venezuela, RB",VEN,CO2 emissions (metric tons per capita),5405,5491,5961,5582,5607,5916,5848,6027,5891,6264,6302,6269,5780,5429,5059,4783,3478,2975
